mysql> select * from jobs;

+-----+---------------------+-----+------+--------+--------+--------+
| id  | time                | red | blue | yellow | status | ticket |
+-----+---------------------+-----+------+--------+--------+--------+
| 116 | 2018-11-13 10:52:43 |   4 |    3 |      0 |      2 | 2B1659 |
| 118 | 2018-11-13 10:52:53 |   3 |    0 |      0 |      2 | 670B81 |
| 122 | 2018-11-14 15:32:18 |   0 |    2 |      2 |      2 | 65F800 |
| 123 | 2018-11-14 15:32:38 |   0 |    3 |      0 |      1 | NULL   |
| 124 | 2018-11-14 15:32:58 |   3 |    3 |      2 |      1 | NULL   |
+-----+---------------------+-----+------+--------+--------+--------+
5 rows in set (0.00 sec)

mysql> select * from log;

+-----+---------------------+---------+------------------------------------+-------+
| id  | time                | cell_id | comment                            | event |
|  83 | 2018-11-12 20:00:53 |       3 | order id = 30                      |     8 |
|  84 | 2018-11-12 20:00:53 |       3 | order id = 31                      |     7 |
|  85 | 2018-11-12 20:00:56 |       3 | order id = 31                      |     8 |
|  86 | 2018-11-12 20:00:57 |       3 | order id = 32                      |     7 |
|  87 | 2018-11-12 20:01:00 |       3 | order id = 32                      |     8 |
|  88 | 2018-11-12 20:01:00 |       3 | order id = 33                      |     7 |
|  89 | 2018-11-12 20:01:03 |       3 | order id = 33                      |     8 |
|  90 | 2018-11-12 20:01:03 |       3 | order id = 34                      |     7 |
|  91 | 2018-11-12 20:01:06 |       3 | order id = 34                      |     8 |
|  92 | 2018-11-12 20:01:07 |       3 | order id = 35                      |     7 |
|  93 | 2018-11-12 20:01:10 |       3 | order id = 35                      |     8 |
|  94 | 2018-11-12 20:01:10 |       3 | order id = 36                      |     7 |
|  95 | 2018-11-12 20:01:13 |       3 | order id = 36                      |     8 |
|  96 | 2018-11-12 20:01:13 |       3 | order id = 37                      |     7 |
|  97 | 2018-11-12 20:01:17 |       3 | order id = 37                      |     8 |
|  98 | 2018-11-12 20:01:20 |       3 | order id = 37                      |     8 |
|  99 | 2018-11-12 20:01:20 |       3 | order id = 38                      |     7 |
| 100 | 2018-11-12 20:01:23 |       3 | order id = 38                      |     8 |
| 101 | 2018-11-12 20:01:23 |       3 | order id = 39                      |     7 |
| 102 | 2018-11-12 20:01:26 |       3 | order id = 39                      |     8 |
| 103 | 2018-11-12 20:01:30 |       3 | order id = 39                      |     8 |
| 104 | 2018-11-12 20:01:30 |       3 | order id = 40                      |     7 |
| 105 | 2018-11-12 20:01:33 |       3 | order id = 40                      |     8 |
| 106 | 2018-11-12 20:01:33 |       3 | order id = 41                      |     7 |
| 107 | 2018-11-12 20:01:36 |       3 | order id = 41                      |     8 |
| 108 | 2018-11-12 20:01:39 |       3 | order id = 41                      |     8 |
